Block,Light (u mol photons m/s/),NH4Cl (mg/L),Time (hours),Replicate,Pseudo-replicate,F,Fm,Y(II),Average Y (controls),StDev (controls),StDev / Average (%),Photosynthetic inhibition (%),Average photosynthetic inhibition (%)
2,80,2.67,24,1,1,0.03758,0.06618,0.43215473,NA,NA,NA,0.088204327,0.078269795
2,80,2.67,24,1,2,0.0432,0.07736,0.441571872,NA,NA,NA,0.068335264,NA
2,80,2.67,48,1,1,0.0349,0.054,0.353703704,NA,NA,NA,0.030664249,0.014120522
2,80,2.67,48,1,2,0.0404,0.0637,0.36577708,NA,NA,NA,-0.002423205,NA
2,80,2.67,72,1,1,0.10834,0.17314,0.374263602,NA,NA,NA,0.1513096,0.154841591
2,80,2.67,72,1,2,0.10776,0.17136,0.371148459,NA,NA,NA,0.158373582,NA
2,80,0.267,0,1,1,0.0111,0.02342,0.526046114,NA,NA,NA,-0.102533379,-0.088018319
2,80,0.267,0,1,2,0.01,0.0205,0.512195122,NA,NA,NA,-0.073503259,NA
2,80,0.267,0.3,1,1,0.0169,0.03696,0.542748918,NA,NA,NA,-0.039283045,-0.045609046
2,80,0.267,0.3,1,2,0.0168,0.03728,0.549356223,NA,NA,NA,-0.051935047,NA
2,80,0.267,2,1,1,0.0194,0.04282,0.546940682,NA,NA,NA,-0.020758743,-0.016948176
2,80,0.267,2,1,2,0.0208,0.0455,0.542857143,NA,NA,NA,-0.013137609,NA
2,80,0.267,24,1,1,0.03408,0.0638,0.465830721,NA,NA,NA,0.017151944,0.019418526
2,80,0.267,24,1,2,0.03618,0.06746,0.463682182,NA,NA,NA,0.021685109,NA
2,80,0.267,48,1,1,0.0383,0.0591,0.351945854,NA,NA,NA,0.035481689,0.04166847
2,80,0.267,48,1,2,0.03302,0.0506,0.34743083,NA,NA,NA,0.04785525,NA
2,80,0.267,72,1,1,0.10834,0.17126,0.367394605,NA,NA,NA,0.166885926,0.164753276
2,80,0.267,72,1,2,0.11266,0.17862,0.369275557,NA,NA,NA,0.162620627,NA
2,80,0.0267,0,1,1,0.0109,0.02178,0.499540863,NA,NA,NA,-0.046981359,-0.052755153
2,80,0.0267,0,1,2,0.0098,0.0198,0.505050505,NA,NA,NA,-0.058528947,NA
