Block,Light (u mol photons m/s/),Diuron (ug/L),Time (hours),Replicate,Pseudo-replicate,F,Fm,Y(II),Average Y (controls),Photosynthetic inhibition (%),Average photosynthetic inhibition (%)
1,5,MeOH,0,1,2,0.0103,0.0238,0.567226891,NA,0.01,NA
1,5,MeOH,0.3,1,1,0.012,0.02746,0.563000728,NA,-0.01,-0.01
1,5,MeOH,0.3,1,2,0.011,0.025,0.56,NA,0,NA
1,5,MeOH,2,1,1,0.0101,0.0258,0.608527132,NA,-0.01,0
1,5,MeOH,2,1,2,0.0097,0.0242,0.599173554,NA,0.01,NA
1,5,MeOH,24,1,1,0.0293,0.0693,0.577200577,NA,0,-0.01
1,5,MeOH,24,1,2,0.0285,0.06812,0.581620669,NA,-0.01,NA
1,5,MeOH,48,1,1,0.06266,0.1513,0.585855915,NA,0.01,0.01
1,5,MeOH,48,1,2,0.0555,0.13696,0.594772196,NA,0,NA
1,5,MeOH,72,1,1,0.08688,0.19412,0.552441789,NA,0.04,0.04
1,5,MeOH,72,1,2,0.07894,0.17794,0.556367315,NA,0.04,NA
1,5,3,0,1,1,0.0092,0.0205,0.551219512,NA,0.04,0.07
1,5,3,0,1,2,0.0086,0.01746,0.50744559,NA,0.11,NA
1,5,3,0.3,1,1,0.0201,0.02698,0.255003706,NA,0.54,0.55
1,5,3,0.3,1,2,0.0171,0.02282,0.250657318,NA,0.55,NA
1,5,3,2,1,1,0.0171,0.0234,0.269230769,NA,0.56,0.56
1,5,3,2,1,2,0.0159,0.0215,0.260465116,NA,0.57,NA
1,5,3,24,1,1,0.0294,0.04282,0.313404951,NA,0.46,0.44
1,5,3,24,1,2,0.0296,0.0439,0.325740319,NA,0.43,NA
1,5,3,48,1,1,0.0587,0.0893,0.342665174,NA,0.42,0.42
1,5,3,48,1,2,0.0519,0.0794,0.346347607,NA,0.42,NA
1,5,3,72,1,1,0.0994,0.15344,0.352189781,NA,0.39,0.38
1,5,3,72,1,2,0.0802,0.12636,0.365305476,NA,0.37,NA
1,5,1,0,1,1,0.0088,0.0205,0.570731707,NA,0,0.06
1,5,1,0,1,2,0.0085,0.01728,0.508101852,NA,0.11,NA
1,5,1,0.3,1,1,0.0163,0.02802,0.418272662,NA,0.25,0.25
1,5,1,0.3,1,2,0.0143,0.0245,0.416326531,NA,0.25,NA
1,5,1,2,1,1,0.0141,0.0263,0.463878327,NA,0.23,0.25
1,5,1,2,1,2,0.0132,0.0235,0.438297872,NA,0.28,NA
1,5,1,24,1,1,0.0235,0.04706,0.500637484,NA,0.13,0.13
1,5,1,24,1,2,0.0246,0.0493,0.501014199,NA,0.13,NA
1,5,1,48,1,1,0.0662,0.13902,0.523809524,NA,0.12,0.12
1,5,1,48,1,2,0.0508,0.10678,0.524255479,NA,0.12,NA
1,5,1,72,1,1,0.0956,0.20668,0.537449197,NA,0.07,0.07
1,5,1,72,1,2,0.0839,0.18294,0.541379687,NA,0.06,NA
1,5,0.33,0,1,1,0.0107,0.0238,0.550420168,NA,0.04,0.09
1,5,0.33,0,1,2,0.0096,0.019,0.494736842,NA,0.13,NA
1,5,0.33,0.3,1,1,0.0148,0.0285,0.480701754,NA,0.14,0.16
1,5,0.33,0.3,1,2,0.0135,0.0247,0.453441296,NA,0.19,NA
1,5,0.33,2,1,1,0.012,0.0255,0.529411765,NA,0.12,0.15
1,5,0.33,2,1,2,0.0114,0.02254,0.494232476,NA,0.18,NA
1,5,0.33,24,1,1,0.0227,0.0519,0.562620424,NA,0.02,0.02
1,5,0.33,24,1,2,0.0211,0.0488,0.567622951,NA,0.01,NA
1,5,0.33,48,1,1,0.0634,0.15176,0.582235108,NA,0.02,0.02
1,5,0.33,48,1,2,0.04698,0.11176,0.579634932,NA,0.03,NA
1,5,0.33,72,1,1,0.09238,0.18696,0.505883611,NA,0.12,0.12
1,5,0.33,72,1,2,0.08168,0.16714,0.511307886,NA,0.12,NA
1,5,0.11,0,1,1,0.0106,0.0233,0.545064378,NA,0.05,0.09
1,5,0.11,0,1,2,0.0085,0.0168,0.494047619,NA,0.14,NA
1,5,0.11,0.3,1,1,0.0138,0.02834,0.513055752,NA,0.08,0.13
1,5,0.11,0.3,1,2,0.0116,0.0214,0.457943925,NA,0.18,NA
1,5,0.11,2,1,1,0.0131,0.0294,0.554421769,NA,0.08,0.11
1,5,0.11,2,1,2,0.0103,0.0216,0.523148148,NA,0.14,NA
1,5,0.11,24,1,1,0.0241,0.05862,0.588877516,NA,-0.02,-0.01
1,5,0.11,24,1,2,0.0203,0.04822,0.579012858,NA,-0.01,NA
1,5,0.11,48,1,1,0.0546,0.1391,0.607476636,NA,-0.02,-0.02
1,5,0.11,48,1,2,0.04254,0.10842,0.607636967,NA,-0.02,NA
1,5,0.11,72,1,1,0.09638,0.23636,0.592232188,NA,-0.03,-0.03
1,5,0.11,72,1,2,0.08188,0.20284,0.596332084,NA,-0.03,NA
2,80,Control,0,1,1,0.01,0.0213,0.530516432,0.516514497,-0.03,0
2,80,Control,0,1,2,0.0099,0.0199,0.502512563,NA,0.03,NA
2,80,Control,0.3,1,1,0.0118,0.0259,0.544401544,0.531536872,-0.02,0
2,80,Control,0.3,1,2,0.0116,0.0241,0.518672199,NA,0.02,NA
2,80,Control,2,1,1,0.0193,0.0443,0.564334086,0.558624926,-0.01,0
2,80,Control,2,1,2,0.0207,0.0463,0.552915767,NA,0.01,NA
2,80,Control,24,1,1,0.035,0.06666,0.474947495,0.471142089,-0.01,0
2,80,Control,24,1,2,0.0318,0.0597,0.467336683,NA,0.01,NA
2,80,Control,48,1,1,0.0447,0.07048,0.365777526,0.359331224,-0.02,0
2,80,Control,48,1,2,0.0406,0.06274,0.352884922,NA,0.02,NA
2,80,Control,72,1,1,0.0515,0.0843,0.389086595,0.388186392,0,0
2,80,Control,72,1,2,0.048,0.07834,0.387286188,NA,0,NA
2,80,MeOH,0,1,1,0.0111,0.02262,0.50928382,NA,0.01,0.02
2,80,MeOH,0,1,2,0.0104,0.0211,0.507109005,NA,0.02,NA
2,80,MeOH,0.3,1,1,0.0114,0.0245,0.534693878,NA,-0.01,0.04
2,80,MeOH,0.3,1,2,0.0116,0.0227,0.488986784,NA,0.08,NA
2,80,MeOH,2,1,1,0.015,0.0346,0.566473988,NA,-0.01,0.02
2,80,MeOH,2,1,2,0.0148,0.0316,0.53164557,NA,0.05,NA
2,80,MeOH,24,1,1,0.03208,0.0595,0.460840336,NA,0.02,0.03
2,80,MeOH,24,1,2,0.0305,0.0562,0.457295374,NA,0.03,NA
2,80,MeOH,48,1,1,0.04764,0.0747,0.362248996,NA,-0.01,0.01
2,80,MeOH,48,1,2,0.04716,0.07264,0.350770925,NA,0.02,NA
2,80,MeOH,72,1,1,0.0544,0.08852,0.385449616,NA,0.01,0.02
2,80,MeOH,72,1,2,0.0509,0.08198,0.379116858,NA,0.02,NA
2,80,3,0,1,1,0.0092,0.0203,0.54679803,NA,-0.06,-0.02
2,80,3,0,1,2,0.0088,0.018,0.511111111,NA,0.01,NA
2,80,3,0.3,1,1,0.0164,0.0242,0.32231405,NA,0.39,0.36
2,80,3,0.3,1,2,0.01254,0.0194,0.353608247,NA,0.33,NA
2,80,3,2,1,1,0.0296,0.0406,0.270935961,NA,0.51,0.5
2,80,3,2,1,2,0.0258,0.036,0.283333333,NA,0.49,NA
2,80,3,24,1,1,0.04782,0.06678,0.283917341,NA,0.4,0.4
2,80,3,24,1,2,0.03708,0.05188,0.285273709,NA,0.39,NA
2,80,3,48,1,1,0.05342,0.07284,0.266611752,NA,0.26,0.26
2,80,3,48,1,2,0.0443,0.0605,0.267768595,NA,0.25,NA
2,80,3,72,1,1,0.0639,0.08942,0.285394766,NA,0.26,0.26
2,80,3,72,1,2,0.05286,0.07432,0.288751346,NA,0.26,NA
2,80,1,0,1,1,0.0086,0.01744,0.506880734,NA,0.02,0.01
2,80,1,0,1,2,0.0095,0.0196,0.515306122,NA,0,NA
2,80,1,0.3,1,1,0.01238,0.02262,0.452696729,NA,0.15,0.14
2,80,1,0.3,1,2,0.0146,0.02718,0.462840324,NA,0.13,NA
2,80,1,2,1,1,0.0245,0.04188,0.414995224,NA,0.26,0.22
2,80,1,2,1,2,0.0229,0.04198,0.454502144,NA,0.19,NA
2,80,1,24,1,1,0.0368,0.05854,0.371370003,NA,0.21,0.19
2,80,1,24,1,2,0.0448,0.07334,0.389146441,NA,0.17,NA
2,80,1,48,1,1,0.04314,0.06216,0.305984556,NA,0.15,0.13
2,80,1,48,1,2,0.0511,0.0748,0.31684492,NA,0.12,NA
2,80,1,72,1,1,0.0537,0.0795,0.324528302,NA,0.16,0.16
2,80,1,72,1,2,0.06638,0.09864,0.327047851,NA,0.16,NA
2,80,0.33,0,1,1,0.0094,0.02,0.53,NA,-0.03,0
2,80,0.33,0,1,2,0.0087,0.01754,0.503990878,NA,0.02,NA
2,80,0.33,0.3,1,1,0.01256,0.0258,0.513178295,NA,0.03,0.04
2,80,0.33,0.3,1,2,0.01246,0.0254,0.509448819,NA,0.04,NA
2,80,0.33,2,1,1,0.021,0.04148,0.493731919,NA,0.12,0.1
2,80,0.33,2,1,2,0.0213,0.0437,0.512585812,NA,0.08,NA
2,80,0.33,24,1,1,0.0347,0.05852,0.407040328,NA,0.14,0.14
2,80,0.33,24,1,2,0.0313,0.05256,0.404490107,NA,0.14,NA
2,80,0.33,48,1,1,0.0456,0.06872,0.336437718,NA,0.06,0.08
2,80,0.33,48,1,2,0.0411,0.06078,0.323790721,NA,0.1,NA
2,80,0.33,72,1,1,0.055,0.0855,0.356725146,NA,0.08,0.08
2,80,0.33,72,1,2,0.05238,0.08108,0.353971386,NA,0.09,NA
2,80,0.11,0,1,1,0.0105,0.02158,0.513438369,NA,0.01,0
2,80,0.11,0,1,2,0.0104,0.02178,0.522497704,NA,-0.01,NA
2,80,0.11,0.3,1,1,0.0142,0.0295,0.518644068,NA,0.02,0
2,80,0.11,0.3,1,2,0.0133,0.0295,0.549152542,NA,-0.03,NA
2,80,0.11,2,1,1,0.0207,0.04282,0.516581037,NA,0.08,0.05
2,80,0.11,2,1,2,0.02218,0.04822,0.540024886,NA,0.03,NA
2,80,0.11,24,1,1,0.0415,0.07216,0.424889135,NA,0.1,0.1
2,80,0.11,24,1,2,0.03842,0.06696,0.426224612,NA,0.1,NA
2,80,0.11,48,1,1,0.04068,0.06146,0.338106085,NA,0.06,0.06
2,80,0.11,48,1,2,0.04628,0.07008,0.339611872,NA,0.05,NA
2,80,0.11,72,1,1,0.0602,0.09402,0.3597107,NA,0.07,0.06
2,80,0.11,72,1,2,0.0586,0.09266,0.367580401,NA,0.05,NA
2,20,Control,0,1,1,0.0088,0.0182,0.516483516,0.494241758,-0.05,0
2,20,Control,0,1,2,0.00792,0.015,0.472,NA,0.05,NA
2,20,Control,0.3,1,1,0.01228,0.02784,0.558908046,0.546687685,-0.02,0
2,20,Control,0.3,1,2,0.0104,0.02234,0.534467323,NA,0.02,NA
2,20,Control,2,1,1,0.0203,0.0511,0.602739726,0.598150547,-0.01,0
2,20,Control,2,1,2,0.0202,0.0497,0.593561368,NA,0.01,NA
2,20,Control,24,1,1,0.0446,0.09952,0.551848875,0.550336503,0,0
2,20,Control,24,1,2,0.0353,0.07824,0.548824131,NA,0,NA
2,20,Control,48,1,1,0.04608,0.07626,0.395751377,0.401052946,0.01,0
2,20,Control,48,1,2,0.0355,0.0598,0.406354515,NA,-0.01,NA
2,20,Control,72,1,1,0.06128,0.10226,0.400743204,0.396744782,-0.01,0
2,20,Control,72,1,2,0.0509,0.08382,0.392746361,NA,0.01,NA
2,20,MeOH,0,1,1,0.0087,0.01746,0.501718213,NA,-0.02,-0.02
2,20,MeOH,0,1,2,0.0088,0.0177,0.502824859,NA,-0.02,NA
2,20,MeOH,0.3,1,1,0.0108,0.02226,0.514824798,NA,0.06,0.05
2,20,MeOH,0.3,1,2,0.0101,0.021,0.519047619,NA,0.05,NA
2,20,MeOH,2,1,1,0.01752,0.04272,0.58988764,NA,0.01,0.01
2,20,MeOH,2,1,2,0.0183,0.0454,0.5969163,NA,0,NA
2,20,MeOH,24,1,1,0.0399,0.08922,0.552790854,NA,0,0
2,20,MeOH,24,1,2,0.0362,0.08068,0.551313832,NA,0,NA
2,20,MeOH,48,1,1,0.044,0.07256,0.393605292,NA,0.02,0.03
2,20,MeOH,48,1,2,0.0433,0.07048,0.385641317,NA,0.04,NA
2,20,MeOH,72,1,1,0.0558,0.09636,0.420921544,NA,-0.06,-0.05
2,20,MeOH,72,1,2,0.05668,0.09666,0.413614732,NA,-0.04,NA
2,20,3,0,1,1,0.0093,0.0196,0.525510204,NA,-0.06,-0.08
2,20,3,0,1,2,0.0092,0.0203,0.54679803,NA,-0.11,NA
2,20,3,0.3,1,1,0.0185,0.02736,0.323830409,NA,0.41,0.41
2,20,3,0.3,1,2,0.0167,0.0248,0.326612903,NA,0.4,NA
2,20,3,2,1,1,0.0313,0.044,0.288636364,NA,0.52,0.52
2,20,3,2,1,2,0.03198,0.045,0.289333333,NA,0.52,NA
2,20,3,24,1,1,0.05802,0.08814,0.341729067,NA,0.38,0.38
