,hours,Light,DIN,Replicate,Absorbance
68,-48,80,2.67,Rep 2,NA
69,-48,80,2.67,AVERAGE,NA
70,-48,80,0.267,Rep 1,NA
71,-48,80,0.267,Rep 2,NA
72,-48,80,0.267,AVERAGE,NA
73,-48,80,0.0267,Rep 1,NA
74,-48,80,0.0267,Rep 2,NA
75,-48,80,0.0267,AVERAGE,NA
76,-48,20,AlgaeControl,Rep 1,0.0418
77,-48,20,AlgaeControl,Rep 2,0.0423
78,-48,20,AlgaeControl,AVERAGE,0.04205
79,-48,20,AlgaeControl,Rep 1,NA
80,-48,20,AlgaeControl,Rep 2,NA
81,-48,20,AlgaeControl,AVERAGE,NA
82,-48,20,26.7,Rep 1,NA
83,-48,20,26.7,Rep 2,NA
84,-48,20,26.7,AVERAGE,NA
85,-48,20,2.67,Rep 1,NA
86,-48,20,2.67,Rep 2,NA
87,-48,20,2.67,AVERAGE,NA
88,-48,20,0.267,Rep 1,NA
89,-48,20,0.267,Rep 2,NA
90,-48,20,0.267,AVERAGE,NA
91,-48,20,0.0267,Rep 1,NA
92,-48,20,0.0267,Rep 2,NA
93,-48,20,0.0267,AVERAGE,NA
94,-48,5,AlgaeControl,Rep 1,NA
95,-48,5,AlgaeControl,Rep 2,NA
96,-48,5,AlgaeControl,AVERAGE,NA
97,-48,5,AlgaeControl,Rep 1,NA
98,-48,5,AlgaeControl,Rep 2,NA
99,-48,5,AlgaeControl,AVERAGE,NA
100,-48,5,26.7,Rep 1,NA
101,-48,5,26.7,Rep 2,NA
102,-48,5,26.7,AVERAGE,NA
103,-48,5,2.67,Rep 1,NA
104,-48,5,2.67,Rep 2,NA
105,-48,5,2.67,AVERAGE,NA
106,-48,5,0.267,Rep 1,NA
107,-48,5,0.267,Rep 2,NA
108,-48,5,0.267,AVERAGE,NA
109,-48,5,0.0267,Rep 1,NA
110,-48,5,0.0267,Rep 2,NA
111,-48,5,0.0267,AVERAGE,NA
112,-48,Blank,Blank,REP1,NA
113,-48,Blank,Blank,REP2,NA
114,-48,Blank,Blank,AVERAGE,NA
115,-24,80,AlgaeControl,Rep 1,0.0447
116,-24,80,AlgaeControl,Rep 2,0.0447
117,-24,80,AlgaeControl,AVERAGE,0.0447
118,-24,80,AlgaeControl,Rep 1,NA
119,-24,80,AlgaeControl,Rep 2,NA
120,-24,80,AlgaeControl,AVERAGE,NA
121,-24,80,26.7,Rep 1,NA
122,-24,80,26.7,Rep 2,NA
123,-24,80,26.7,AVERAGE,NA
124,-24,80,2.67,Rep 1,NA
125,-24,80,2.67,Rep 2,NA
126,-24,80,2.67,AVERAGE,NA
127,-24,80,0.267,Rep 1,NA
128,-24,80,0.267,Rep 2,NA
129,-24,80,0.267,AVERAGE,NA
130,-24,80,0.0267,Rep 1,NA
131,-24,80,0.0267,Rep 2,NA
132,-24,80,0.0267,AVERAGE,NA
133,-24,20,AlgaeControl,Rep 1,0.0435
134,-24,20,AlgaeControl,Rep 2,0.0446
135,-24,20,AlgaeControl,AVERAGE,0.04405
136,-24,20,AlgaeControl,Rep 1,NA
137,-24,20,AlgaeControl,Rep 2,NA
138,-24,20,AlgaeControl,AVERAGE,NA
139,-24,20,26.7,Rep 1,NA
140,-24,20,26.7,Rep 2,NA
141,-24,20,26.7,AVERAGE,NA
142,-24,20,2.67,Rep 1,NA
143,-24,20,2.67,Rep 2,NA
144,-24,20,2.67,AVERAGE,NA
145,-24,20,0.267,Rep 1,NA
146,-24,20,0.267,Rep 2,NA
147,-24,20,0.267,AVERAGE,NA
148,-24,20,0.0267,Rep 1,NA
149,-24,20,0.0267,Rep 2,NA
150,-24,20,0.0267,AVERAGE,NA
151,-24,5,AlgaeControl,Rep 1,NA
152,-24,5,AlgaeControl,Rep 2,NA
153,-24,5,AlgaeControl,AVERAGE,NA
154,-24,5,AlgaeControl,Rep 1,NA
155,-24,5,AlgaeControl,Rep 2,NA
156,-24,5,AlgaeControl,AVERAGE,NA
157,-24,5,26.7,Rep 1,NA
158,-24,5,26.7,Rep 2,NA
159,-24,5,26.7,AVERAGE,NA
160,-24,5,2.67,Rep 1,NA
161,-24,5,2.67,Rep 2,NA
162,-24,5,2.67,AVERAGE,NA
163,-24,5,0.267,Rep 1,NA
164,-24,5,0.267,Rep 2,NA
165,-24,5,0.267,AVERAGE,NA
166,-24,5,0.0267,Rep 1,NA
167,-24,5,0.0267,Rep 2,NA
168,-24,5,0.0267,AVERAGE,NA
169,-24,Blank,Blank,REP1,NA
170,-24,Blank,Blank,REP2,NA
171,-24,Blank,Blank,AVERAGE,NA
172,0,80,AlgaeControl,Rep 1,0.0663
173,0,80,AlgaeControl,Rep 2,0.056
174,0,80,AlgaeControl,AVERAGE,0.06115
175,0,80,AlgaeControl,Rep 1,0.0549
176,0,80,AlgaeControl,Rep 2,0.0475
177,0,80,AlgaeControl,AVERAGE,0.0512
178,0,80,26.7,Rep 1,0.0632
179,0,80,26.7,Rep 2,0.0681
180,0,80,26.7,AVERAGE,0.06565
181,0,80,2.67,Rep 1,0.0542
182,0,80,2.67,Rep 2,0.0555
183,0,80,2.67,AVERAGE,0.05485
184,0,80,0.267,Rep 1,0.0479
185,0,80,0.267,Rep 2,0.0517
186,0,80,0.267,AVERAGE,0.0498
187,0,80,0.0267,Rep 1,0.0479
188,0,80,0.0267,Rep 2,0.0489
189,0,80,0.0267,AVERAGE,0.0484
190,0,20,AlgaeControl,Rep 1,0.0627
191,0,20,AlgaeControl,Rep 2,0.065
192,0,20,AlgaeControl,AVERAGE,0.06385
193,0,20,AlgaeControl,Rep 1,0.0551
194,0,20,AlgaeControl,Rep 2,0.0549
195,0,20,AlgaeControl,AVERAGE,0.055
196,0,20,26.7,Rep 1,0.0645
197,0,20,26.7,Rep 2,0.0528
198,0,20,26.7,AVERAGE,0.05865
199,0,20,2.67,Rep 1,0.0571
200,0,20,2.67,Rep 2,0.0557
201,0,20,2.67,AVERAGE,0.0564
202,0,20,0.267,Rep 1,0.0523
203,0,20,0.267,Rep 2,0.0507
204,0,20,0.267,AVERAGE,0.0515
205,0,20,0.0267,Rep 1,0.0482
206,0,20,0.0267,Rep 2,0.0476
207,0,20,0.0267,AVERAGE,0.0479
208,0,5,AlgaeControl,Rep 1,0.0572
209,0,5,AlgaeControl,Rep 2,0.0559
210,0,5,AlgaeControl,AVERAGE,0.05655
211,0,5,AlgaeControl,Rep 1,0.0531
212,0,5,AlgaeControl,Rep 2,0.0541
213,0,5,AlgaeControl,AVERAGE,0.0536
214,0,5,26.7,Rep 1,0.0584
215,0,5,26.7,Rep 2,0.0579
216,0,5,26.7,AVERAGE,0.05815
217,0,5,2.67,Rep 1,0.0587
218,0,5,2.67,Rep 2,0.0566
219,0,5,2.67,AVERAGE,0.05765
220,0,5,0.267,Rep 1,0.0516
221,0,5,0.267,Rep 2,0.0522
222,0,5,0.267,AVERAGE,0.0519
223,0,5,0.0267,Rep 1,0.049
224,0,5,0.0267,Rep 2,0.0501
225,0,5,0.0267,AVERAGE,0.04955
226,0,Blank,Blank,REP1,0.0431
227,0,Blank,Blank,REP2,0.0431
228,0,Blank,Blank,AVERAGE,0.0431
229,0.3,80,AlgaeControl,Rep 1,0.0678
230,0.3,80,AlgaeControl,Rep 2,0.0601
231,0.3,80,AlgaeControl,AVERAGE,0.06395
232,0.3,80,AlgaeControl,Rep 1,0.0536
233,0.3,80,AlgaeControl,Rep 2,0.0531
234,0.3,80,AlgaeControl,AVERAGE,0.05335
235,0.3,80,26.7,Rep 1,0.0552
236,0.3,80,26.7,Rep 2,0.0567
237,0.3,80,26.7,AVERAGE,0.05595
238,0.3,80,2.67,Rep 1,0.0535
239,0.3,80,2.67,Rep 2,0.0526
240,0.3,80,2.67,AVERAGE,0.05305
241,0.3,80,0.267,Rep 1,0.0513
242,0.3,80,0.267,Rep 2,0.0515
243,0.3,80,0.267,AVERAGE,0.0514
244,0.3,80,0.0267,Rep 1,0.0498
245,0.3,80,0.0267,Rep 2,0.0502
246,0.3,80,0.0267,AVERAGE,0.05
247,0.3,20,AlgaeControl,Rep 1,0.054
248,0.3,20,AlgaeControl,Rep 2,0.0552
249,0.3,20,AlgaeControl,AVERAGE,0.0546
250,0.3,20,AlgaeControl,Rep 1,0.0524
251,0.3,20,AlgaeControl,Rep 2,0.0528
252,0.3,20,AlgaeControl,AVERAGE,0.0526
253,0.3,20,26.7,Rep 1,0.0605
254,0.3,20,26.7,Rep 2,0.0596
255,0.3,20,26.7,AVERAGE,0.06005
256,0.3,20,2.67,Rep 1,0.0548
257,0.3,20,2.67,Rep 2,0.0552
258,0.3,20,2.67,AVERAGE,0.055
259,0.3,20,0.267,Rep 1,0.0512
260,0.3,20,0.267,Rep 2,0.0518
261,0.3,20,0.267,AVERAGE,0.0515
262,0.3,20,0.0267,Rep 1,0.0483
263,0.3,20,0.0267,Rep 2,0.0506
264,0.3,20,0.0267,AVERAGE,0.04945
265,0.3,5,AlgaeControl,Rep 1,0.0544
266,0.3,5,AlgaeControl,Rep 2,0.0565
267,0.3,5,AlgaeControl,AVERAGE,0.05545
268,0.3,5,AlgaeControl,Rep 1,0.0557
269,0.3,5,AlgaeControl,Rep 2,0.053
270,0.3,5,AlgaeControl,AVERAGE,0.05435
271,0.3,5,26.7,Rep 1,0.054
272,0.3,5,26.7,Rep 2,0.0547
273,0.3,5,26.7,AVERAGE,0.05435
274,0.3,5,2.67,Rep 1,0.0519
275,0.3,5,2.67,Rep 2,0.0534
276,0.3,5,2.67,AVERAGE,0.05265
277,0.3,5,0.267,Rep 1,0.0499
278,0.3,5,0.267,Rep 2,0.051
279,0.3,5,0.267,AVERAGE,0.05045
280,0.3,5,0.0267,Rep 1,0.0487
281,0.3,5,0.0267,Rep 2,0.0509
282,0.3,5,0.0267,AVERAGE,0.0498
283,0.3,Blank,Blank,REP1,0.0433
284,0.3,Blank,Blank,REP2,0.0424
285,0.3,Blank,Blank,AVERAGE,0.04285
286,2,80,AlgaeControl,Rep 1,0.0564
287,2,80,AlgaeControl,Rep 2,0.0511
288,2,80,AlgaeControl,AVERAGE,0.05375
