,hours,Light,Diuron,Replicate,Absorbance
330,2,5,3,AVERAGE,0.05105
331,2,5,1,Rep 1,0.0522
332,2,5,1,Rep 2,0.0495
333,2,5,1,AVERAGE,0.05085
334,2,5,0.33,Rep 1,0.0496
335,2,5,0.33,Rep 2,0.0491
336,2,5,0.33,AVERAGE,0.04935
337,2,5,0.11,Rep 1,0.0484
338,2,5,0.11,Rep 2,0.05
339,2,5,0.11,AVERAGE,0.0492
340,2,Blank,Blank,Rep 1,0.0426
341,2,Blank,Blank,Rep 2,0.0416
342,2,Blank,Blank,AVERAGE,0.0421
343,24,80,AlgaeControl,Rep 1,0.0719
344,24,80,AlgaeControl,Rep 2,0.0677
345,24,80,AlgaeControl,AVERAGE,0.0698
346,24,80,MeOHControl,Rep 1,0.0744
347,24,80,MeOHControl,Rep 2,0.0734
348,24,80,MeOH,AVERAGE,0.0739
349,24,80,3,Rep 1,0.0763
350,24,80,3,Rep 2,0.0786
351,24,80,3,AVERAGE,0.07745
352,24,80,1,Rep 1,0.0617
353,24,80,1,Rep 2,0.067
354,24,80,1,AVERAGE,0.06435
355,24,80,0.33,Rep 1,0.0652
356,24,80,0.33,Rep 2,0.0688
357,24,80,0.33,AVERAGE,0.067
358,24,80,0.11,Rep 1,0.067
359,24,80,0.11,Rep 2,0.067
360,24,80,0.11,AVERAGE,0.067
361,24,20,AlgaeControl,Rep 1,0.0853
362,24,20,AlgaeControl,Rep 2,0.0788
363,24,20,AlgaeControl,AVERAGE,0.08205
364,24,20,MeOHControl,Rep 1,0.0719
365,24,20,MeOHControl,Rep 2,0.0893
366,24,20,MeOH,AVERAGE,0.0806
367,24,20,3,Rep 1,0.0698
368,24,20,3,Rep 2,0.0692
369,24,20,3,AVERAGE,0.0695
370,24,20,1,Rep 1,0.0682
371,24,20,1,Rep 2,0.0713
372,24,20,1,AVERAGE,0.06975
373,24,20,0.33,Rep 1,0.0736
374,24,20,0.33,Rep 2,0.0726
375,24,20,0.33,AVERAGE,0.0731
376,24,20,0.11,Rep 1,0.0713
377,24,20,0.11,Rep 2,0.0665
378,24,20,0.11,AVERAGE,0.0689
379,24,5,AlgaeControl,Rep 1,0.0553
380,24,5,AlgaeControl,Rep 2,0.0544
381,24,5,AlgaeControl,AVERAGE,0.05485
382,24,5,MeOHControl,Rep 1,0.0602
383,24,5,MeOHControl,Rep 2,0.0673
384,24,5,MeOH,AVERAGE,0.06375
385,24,5,3,Rep 1,0.0533
386,24,5,3,Rep 2,0.0531
387,24,5,3,AVERAGE,0.0532
388,24,5,1,Rep 1,0.0563
389,24,5,1,Rep 2,0.0558
390,24,5,1,AVERAGE,0.05605
